close_time,symbol,side,lots,open_price,close_price,pnl,commission
2026-01-02 18:55:50,NASDAQ,SELL,0.01,25780.00,25741.75,38.25,0.00
2026-01-06 19:36:16,NASDAQ,SELL,0.01,25757.50,25752.75,4.75,0.00
2026-01-09 15:10:36,SILVER,SELL,0.02,78.140,78.018,12.20,0.00
2026-01-16 19:45:31,NASDAQ,SELL,0.02,25624.50,25617.50,14.00,0.00
2026-01-19 19:07:17,NASDAQ,BUY,0.01,25280.00,25328.00,48.00,0.00
2026-01-21 18:53:26,NASDAQ,BUY,0.03,25270.75,25284.50,41.25,0.00
2026-01-26 19:20:51,NASDAQ,BUY,0.02,25871.00,25876.00,10.00,0.00
2026-01-27 22:50:00,SILVER,BUY,0.02,107.690,107.755,6.50,0.00
2026-01-29 19:08:15,SILVER,SELL,0.02,117.507,117.185,32.20,0.00
2026-02-02 09:51:37,GOLD,BUY,0.02,4541.205,4534.160,-14.09,0.00
2026-02-02 09:52:10,GOLD,BUY,0.02,4535.015,4518.190,-33.65,0.00
2026-02-02 09:52:23,GOLD,BUY,0.05,4525.095,4526.400,6.53,0.00
2026-02-02 09:52:38,GOLD,BUY,0.05,4521.905,4524.570,13.33,0.00
2026-02-02 09:53:04,GOLD,BUY,0.05,4515.545,4510.590,-24.78,0.00
2026-02-02 09:53:19,GOLD,BUY,0.05,4511.675,4507.230,-22.23,0.00
2026-02-02 09:53:42,GOLD,BUY,0.07,4500.995,4505.190,29.37,0.00
2026-02-02 09:53:52,GOLD,BUY,0.05,4511.545,4517.230,28.43,0.00
2026-02-02 09:54:12,GOLD,BUY,0.05,4528.675,4519.450,-46.13,0.00
2026-02-02 09:54:55,GOLD,SELL,0.05,4529.090,4539.005,-49.58,0.00
2026-02-02 09:55:32,GOLD,BUY,0.05,4528.825,4532.700,19.38,0.00
2026-02-02 09:56:07,GOLD,SELL,0.05,4541.290,4539.705,7.93,0.00
2026-02-02 09:57:15,GOLD,BUY,0.05,4523.135,4527.490,21.78,0.00
2026-02-02 09:57:26,GOLD,BUY,0.05,4524.215,4531.760,37.73,0.00
2026-02-02 09:57:41,GOLD,BUY,0.05,4536.115,4537.700,7.93,0.00
2026-02-02 09:57:56,GOLD,BUY,0.05,4538.995,4540.810,9.08,0.00
2026-02-02 09:58:12,GOLD,SELL,0.05,4540.580,4540.355,1.13,0.00
2026-02-02 09:58:27,GOLD,SELL,0.05,4544.240,4554.335,-50.48,0.00
2026-02-02 09:58:58,GOLD,SELL,0.05,4554.330,4564.755,-52.13,0.00
2026-02-02 10:00:18,GOLD,SELL,0.05,4553.340,4550.645,13.48,0.00
2026-02-02 10:00:31,GOLD,SELL,0.05,4557.010,4559.055,-10.23,0.00
2026-02-02 10:00:45,GOLD,SELL,0.05,4562.920,4568.325,-27.03,0.00
2026-02-02 10:01:14,GOLD,BUY,0.05,4571.245,4561.090,-50.78,0.00
2026-02-02 10:01:41,GOLD,BUY,0.05,4558.745,4562.040,16.48,0.00
2026-02-02 10:02:08,GOLD,SELL,0.05,4565.150,4564.825,1.63,0.00
2026-02-02 10:02:24,GOLD,SELL,0.05,4564.580,4557.385,35.98,0.00
2026-02-02 10:03:08,GOLD,BUY,0.05,4553.365,4554.060,3.48,0.00
2026-02-02 10:03:24,GOLD,BUY,0.05,4549.825,4551.150,6.63,0.00
2026-02-02 10:03:36,GOLD,BUY,0.05,4556.055,4557.240,5.93,0.00
2026-02-02 10:03:52,GOLD,BUY,0.05,4555.825,4559.570,18.73,0.00
2026-02-02 10:06:27,GOLD,BUY,0.05,4544.975,4546.940,9.83,0.00
2026-02-02 10:06:49,GOLD,BUY,0.05,4543.045,4535.960,-35.43,0.00
2026-02-02 10:38:30,GOLD,BUY,0.05,4418.995,4419.660,3.33,0.00
2026-02-02 10:38:59,GOLD,SELL,0.06,4408.510,4404.605,23.43,0.00
2026-02-02 10:39:14,GOLD,BUY,0.05,4418.665,4425.660,34.98,0.00
2026-02-02 10:39:14,GOLD,BUY,0.05,4408.045,4425.660,88.08,0.00
2026-02-04 17:54:51,NASDAQ,BUY,0.03,25367.75,25360.25,-24.00,3.00
2026-02-04 18:56:06,GOLD,SELL,0.01,5011.675,5003.205,7.97,1.00
2026-02-08 00:00:00,GOLD,SELL,0.01,4957.620,4953.245,11.63,0.00
2026-02-11 19:14:34,NASDAQ,BUY,0.03,25159.50,25173.50,40.50,3.00
2026-02-17 22:59:02,NASDAQ,SELL,0.05,24853.50,24846.25,33.75,5.00
2026-02-17 22:59:30,NASDAQ,SELL,0.05,24846.75,24842.25,20.00,5.00
2026-03-04 01:02:29,NASDAQ,SELL,0.05,24752.25,24744.25,37.50,5.00
2026-03-06 15:55:20,NASDAQ,SELL,0.01,24880.75,24865.25,15.00,1.00
2026-03-16 21:15:15,NASDAQ,BUY,0.04,24691.25,24707.50,63.00,4.00
2026-04-01 00:59:12,NASDAQ,BUY,0.08,23912.25,23921.25,68.00,8.00
2026-04-02 20:11:03,NASDAQ,BUY,0.08,24161.00,24175.50,112.00,8.00
2026-07-01 20:40:03,NASDAQ,SELL,0.10,30305.75,30299.25,60.00,10.00
2026-07-01 20:41:11,NASDAQ,SELL,0.10,30305.25,30290.00,147.50,10.00
2026-07-10 14:13:25,NASDAQ,BUY,0.20,29786.25,29790.50,75.00,20.00
2026-07-10 21:20:13,NASDAQ,BUY,0.10,30005.00,30012.00,65.00,10.00
2026-07-24 23:57:58,NASDAQ,SELL,0.20,28323.75,28317.50,115.00,20.00
2026-08-07 22:02:28,NASDAQ,BUY,0.15,29742.50,29751.25,123.75,15.00
2026-08-07 22:04:39,NASDAQ,SELL,0.15,29752.25,29745.25,97.50,15.00
2026-08-11 03:34:05,NASDAQ,SELL,0.15,29748.75,29730.00,273.75,15.00
2026-09-14 23:34:38,NASDAQ,BUY,0.20,29267.00,29272.25,95.00,20.00
2026-09-14 23:45:16,NASDAQ,SELL,0.20,29275.75,29273.25,40.00,20.00
2026-09-14 23:48:24,NASDAQ,SELL,0.20,29274.75,29266.00,165.00,20.00
2026-09-14 23:54:55,GOLD,BUY,0.20,4305.405,4306.780,17.50,20.00
2026-09-14 23:58:01,NASDAQ,SELL,0.25,29271.25,29264.50,156.25,25.00
2026-09-15 00:02:03,NASDAQ,SELL,0.25,29259.75,29251.00,206.25,25.00
2026-09-15 00:02:32,NASDAQ,BUY,0.15,29284.00,29252.25,-483.75,15.00
2026-09-15 00:08:21,NASDAQ,SELL,0.25,29251.25,29234.00,418.75,25.00
