ts,bar,mkt_ret,eq_A_neutral@1x,eq_A_neutral@3x,eq_B_dispersion@1x,eq_B_dispersion@3x,eq_C_idxhedge@1x,eq_C_idxhedge@3x
2026-09-12 09:00:46,2026-09-12 08:00,0.00017129,9997.8517,9993.5411,10000.0000,10000.0000,9998.3503,9995.0429
2026-09-12 09:06:02,2026-09-12 08:00,0.00000000,9998.1084,9994.3110,10000.0000,10000.0000,9998.5327,9995.5898
