re-analysing 776,936 saved trades (1,387 frozen-price trades dropped)
776,936 trades; tune < 2024-02-21 <= holdout; 193,358 of them random-control

======================================================================================================================
ALL ENTRIES
======================================================================================================================
  family         tf      n coins   meanR    PF  t(mo)    tune    hold |  random  vs rand     t
  bb_break       1h  13132   307  -0.013  0.98  -0.26  +0.004  -0.037 |  +0.001   -0.014 -0.57
  macd           1h  16945   310  +0.005  1.01  +0.12  +0.035  -0.037 |  +0.001   +0.004 +0.31
  roc_mom        1h  14100   307  -0.033  0.95  -0.75  +0.000  -0.078 |  +0.001   -0.034 -1.40
  rsi_rev        1h   6876   299  -0.014  0.98  -0.27  -0.036  +0.016 |  +0.001   -0.015 -0.44
  bb_rev         1h  16766   308  +0.022  1.04  +0.52  +0.055  -0.022 |  +0.001   +0.021 +1.49
  supertrend     1h   9019   308  -0.023  0.96  -0.42  +0.042  -0.110 |  +0.001   -0.025 -0.79
  keltner_brk    1h   8905   306  -0.019  0.97  -0.36  +0.021  -0.076 |  +0.001   -0.020 -0.56
  squeeze_rel    1h   9149   305  -0.006  0.99  -0.14  +0.028  -0.056 |  +0.001   -0.007 -0.24
  psar           1h  17423   309  +0.023  1.04  +0.51  +0.047  -0.010 |  +0.001   +0.022 +1.79
  aroon          1h  13033   307  -0.061  0.90  -1.47  -0.037  -0.095 |  +0.001   -0.063 -3.17
  adx_dmi        1h   5327   298  -0.053  0.91  -1.00  -0.025  -0.097 |  +0.001   -0.054 -1.67
  ichimoku       1h  13699   307  -0.012  0.98  -0.26  +0.008  -0.041 |  +0.001   -0.013 -0.55
  chandelier     1h  14134   308  +0.005  1.01  +0.10  +0.035  -0.036 |  +0.001   +0.004 +0.19

  RANDOM         4h  12922        +0.104        +1.45  +0.140  +0.054 |
  ma_cross       4h   1192   219  +0.107  1.23  +1.25  +0.217  -0.065 |  +0.104   +0.002 +0.03
  donchian       4h   3042   281  +0.031  1.06  +0.38  +0.128  -0.108 |  +0.104   -0.074 -1.34
  rsi_mom        4h   3775   289  +0.065  1.12  +0.89  +0.116  -0.009 |  +0.104   -0.039 -1.25
  bb_break       4h   3226   286  +0.068  1.13  +0.85  +0.160  -0.068 |  +0.104   -0.037 -0.73
  macd           4h   3691   292  +0.073  1.13  +1.03  +0.080  +0.065 |  +0.104   -0.031 -0.95
  roc_mom        4h   3680   292  +0.073  1.14  +1.02  +0.153  -0.039 |  +0.104   -0.032 -0.80
  rsi_rev        4h   1297   222  +0.184  1.33  +1.75  +0.179  +0.193 |  +0.104   +0.080 +1.32
  bb_rev         4h   3547   280  +0.112  1.19  +1.32  +0.132  +0.084 |  +0.104   +0.008 +0.21
  supertrend     4h   2191   266  +0.141  1.28  +1.45  +0.253  -0.015 |  +0.104   +0.037 +0.62
  keltner_brk    4h   2417   267  -0.051  0.91  -0.65  -0.015  -0.107 |  +0.104   -0.156 -2.52
  squeeze_rel    4h   2519   281  -0.040  0.93  -0.50  +0.059  -0.182 |  +0.104   -0.145 -2.93
  psar           4h   3886   293  +0.049  1.09  +0.66  +0.071  +0.017 |  +0.104   -0.056 -2.14
  aroon          4h   3278   280  +0.023  1.04  +0.32  +0.110  -0.101 |  +0.104   -0.082 -1.84
  adx_dmi        4h   1181   230  +0.050  1.10  +0.66  +0.104  -0.032 |  +0.104   -0.054 -1.11
  ichimoku       4h   3354   289  +0.060  1.12  +0.79  +0.161  -0.086 |  +0.104   -0.045 -1.10
  chandelier     4h   3328   287  +0.065  1.12  +0.85  +0.135  -0.033 |  +0.104   -0.039 -1.05

  RANDOM        12h   3091        +0.069        +0.86  +0.055  +0.092 |
  ma_cross      12h    614   194  +0.112  1.24  +0.94  +0.135  +0.073 |  +0.069   +0.043 +0.43
  donchian      12h   1065   208  -0.054  0.90  -0.63  -0.079  -0.013 |  +0.069   -0.123 -1.63
  rsi_mom       12h   1081   202  +0.032  1.07  +0.38  +0.034  +0.030 |  +0.069   -0.037 -0.79
  bb_break      12h   1088   223  +0.018  1.04  +0.18  +0.039  -0.013 |  +0.069   -0.051 -0.59
  macd          12h    936   196  +0.017  1.03  +0.19  +0.051  -0.036 |  +0.069   -0.052 -1.28
  roc_mom       12h   1137   203  +0.079  1.16  +0.85  +0.099  +0.048 |  +0.069   +0.010 +0.16
  rsi_rev       12h    255    99  -0.017  0.97  -0.14  +0.010  -0.058 |  +0.069   -0.086 -0.81
  bb_rev        12h    813   176  +0.167  1.31  +1.50  +0.218  +0.087 |  +0.069   +0.098 +1.42
  supertrend    12h    746   192  +0.055  1.12  +0.56  +0.069  +0.034 |  +0.069   -0.014 -0.15
  keltner_brk   12h    904   204  -0.130  0.77  -1.28  -0.200  -0.015 |  +0.069   -0.199 -2.05
  squeeze_rel   12h    815   204  -0.017  0.97  -0.19  +0.020  -0.075 |  +0.069   -0.086 -1.19
  psar          12h    934   192  +0.077  1.16  +0.86  +0.060  +0.105 |  +0.069   +0.008 +0.24
  aroon         12h   1031   209  +0.070  1.14  +0.67  +0.088  +0.043 |  +0.069   +0.000 +0.00
  adx_dmi       12h    376   143  +0.092  1.20  +1.00  +0.066  +0.135 |  +0.069   +0.023 +0.37
  ichimoku      12h   1115   210  +0.011  1.02  +0.14  +0.009  +0.015 |  +0.069   -0.058 -1.00
  chandelier    12h    980   190  +0.017  1.03  +0.20  +0.021  +0.011 |  +0.069   -0.052 -0.80

======================================================================================================================
HOLM over 96 cells, one-sided 'beats random short entries' at 5%:
  nothing survives. Best five before correction:
    ALL  psar           12h  t +2.20  p 0.0140
    ALL  ma_cross        1h  t +2.08  p 0.0189
    ALL  macd           12h  t +1.86  p 0.0314
    BEAR psar            1h  t +1.79  p 0.0367
    ALL  supertrend      4h  t +1.67  p 0.0470
