sym,cls,prior,first,t0,pair,short,btc,pl60,pl120,pl180
USDCUSDT,OLD_BN,1562,2023-03-12,2023-03-19,0.08066334724404112,-0.0073350333732703,0.08799838061731141,-0.04794536023188004,-0.019238325750652926,0.06614062681247078
USELESSUSDT,OLD_OTHER,96,2025-08-15,2025-08-22,0.14956312142729086,0.1278860434328358,0.02167707799445507,0.5132595925417475,-0.11200472895190305,-0.5010669436185585
USTCUSDT,OLD_BN,271,2023-11-27,2023-12-04,0.6137954028593724,0.5085906959651408,0.10520470689423152,-0.20071329194972637,0.3139593489628574,0.1675980690188683
USUALUSDT,NEW,0,2024-12-18,2024-12-25,0.7360089515120929,0.6913982498735641,0.04461070163852881,0.09793877288449435,0.23070488504905806,-0.032438057498971634
USUSDT,NEW,0,2025-12-12,2025-12-19,0.5580744409672878,0.45121669432835815,0.10685774663892958,0.03671444334213398,-0.3245444272282061,-0.48950112710189986
UVXYUSDT,NEW,0,2026-06-11,2026-06-18,0.032270118115444245,0.04697274922730679,-0.014702631111862546,0.38772838133999366,,
UXLINKUSDT,NEW,0,2024-09-15,2024-09-22,0.19433788983072528,0.13681481880546653,0.05752307102525875,-0.03244707766010563,0.3010684712666906,-0.54568853813339
VANAUSDT,NEW,0,2024-12-16,2024-12-23,0.4505345236211337,0.34384473160403295,0.10668979201710078,-0.6226819756385729,-0.019569546356525913,0.17133754207693916
VANRYUSDT,OLD_BN,103,2024-03-13,2024-03-20,0.5069984418540635,0.49928325357334635,0.0077151882807172025,0.1347036149105321,0.251951213623422,0.21951743405059218
VELODROMEUSDT,OLD_OTHER,673,2024-12-13,2024-12-20,0.4886985776239965,0.42434414515478397,0.06435443246921253,0.10704414644209914,-0.26475952990401586,0.05608397630950032
VELVETUSDT,NEW,0,2025-07-15,2025-07-22,-0.49478154094776966,-0.49039558,-0.004385960947769644,-0.5138391708128409,-0.08935540462666058,0.02062874583954233
VETUSDT,OLD_BN,593,2020-02-14,2020-02-21,0.19252679030117859,0.5542091063367709,-0.3616823160355923,0.1289212788600033,-0.5601947456682528,0.28377460805262783
VFYUSDT,NEW,0,2025-09-30,2025-10-07,0.33854096184965354,0.5090546626317534,-0.1705137007820998,0.07530462182306766,0.15001429404430144,0.16509542907879415
VICUSDT,OLD_BN,497,2025-03-12,2025-03-19,0.2901930631287052,0.26712101375478925,0.023072049373915927,0.35893088748188123,-0.4457352332795383,0.17953650580606967
VIDTUSDT,OLD_BN,1087,2024-08-23,2024-08-30,0.19063109294164343,0.08366649263581083,0.1069646003058326,0.406923170145687,0.1899315865294018,-0.09491119239997006
VINEUSDT,NEW,0,2025-01-24,2025-01-31,0.6362146605260088,0.8197632959178479,-0.1835486353918391,-0.5945396547431496,0.36171316655871616,-0.5158533101932015
VIRTUALUSDT,OLD_OTHER,209,2024-12-10,2024-12-17,-0.6057009156183929,-0.49213417,-0.11356674561839296,0.2903565717156422,-0.29740462618233776,0.1987808937849003
VOXELUSDT,OLD_BN,993,2024-08-20,2024-08-27,0.19998146946791065,0.19718616377860818,0.002795305689302482,0.25093824711086815,0.2169888897429796,0.15895532432240458
VRTUSDT,NEW,0,2026-07-10,2026-07-17,-0.023309111264700456,-0.005560174439253926,-0.01774893682544653,,,
VTHOUSDT,OLD_BN,1666,2025-01-22,2025-01-29,0.03358244295307239,0.2031748864633611,-0.1695924435102887,-0.08259099493064978,0.20246948322020503,0.14486317748608177
VUSDT,NEW,0,2026-05-18,2026-05-25,-0.17622356253137736,0.013625284143580484,-0.18984884667495786,-0.02557096245319007,,
VVVUSDT,NEW,0,2025-01-29,2025-02-05,-0.5745667518084127,-0.55973005,-0.014836701808412678,-0.23962101814740605,0.1587067637263097,0.05634570732790384
WALUSDT,NEW,0,2025-03-27,2025-04-03,0.02178168671855185,-0.14930134613768511,0.17108303285623697,0.1354536919725274,-0.0607627484141418,0.323440887543084
WAVESUSDT,OLD_BN,589,2020-08-12,2020-08-19,0.31661414579077807,0.4141486592753623,-0.09753451348458425,-0.15385483953530743,1.5189038809266873,-0.22303240202697402
WAXPUSDT,OLD_BN,808,2023-10-18,2023-10-25,-0.09263253639163951,-0.18082402053970698,0.08819148414806746,0.16204154991256675,-0.3166877960149431,0.060871201262633554
WCTUSDT,NEW,0,2025-04-15,2025-04-22,-0.3229220572720828,-0.50343153,0.1805094727279172,0.23571010896281175,0.1126724909950409,0.11176550343397451
WDCUSDT,NEW,0,2026-05-26,2026-06-02,-0.2456533792838202,-0.08293015275664259,-0.1627232265271776,0.2961064951612299,,
WENUSDT,OLD_OTHER,894,2026-07-09,2026-07-16,-0.20237215401972833,-0.1699520605376343,-0.032420093482094035,,,
WETUSDT,NEW,0,2025-12-10,2025-12-17,-0.5371721881134239,-0.54071841,0.003546221886576082,-0.5660645270648033,-0.469498539780062,-0.14569778440600356
WIFUSDT,NEW,0,2024-01-18,2024-01-25,0.46439130601320533,0.2079262557567105,0.2564650502564948,-0.4682268435664351,0.16674772294255616,0.17600945630476697
WLDUSDT,NEW,0,2023-07-24,2023-07-31,0.36972641449647364,0.42986976288724693,-0.06014334839077329,0.03711925130453021,-0.36840043032640535,-0.24676733328689632
WLFIUSDT,NEW,0,2025-08-23,2025-08-30,0.2070079309543214,0.17779694053771466,0.02921099041660673,-0.27110640916878875,-0.1948346042068707,0.2650577482421571
WMTUSDT,NEW,0,2026-05-18,2026-05-25,-0.18534060682318002,0.004508239851777845,-0.18984884667495786,-0.018689466145633285,,
WOOUSDT,OLD_BN,66,2022-04-08,2022-04-15,0.32750452701218746,0.576438116322237,-0.24893358931004947,-0.4622730792282257,0.1826018757982044,-0.27210757373272515
WUSDT,NEW,0,2024-04-03,2024-04-10,0.17028402630157968,0.2654935821251475,-0.09520955582356783,0.2968247064770164,0.038029722528650084,0.31915737391648463
XAGUSDT,NEW,0,2026-01-07,2026-01-14,-0.1088674199715853,0.19936391805498752,-0.3082313380265728,0.15848853058371146,-0.1222485139007426,0.0571532576848647
XAIUSDT,NEW,0,2024-01-09,2024-01-16,0.27086974560251054,0.061531717672368265,0.20933802793014225,0.22438152462026062,-0.15662490728463788,0.3241359147769329
XANUSDT,NEW,0,2025-09-29,2025-10-06,0.4923712250796874,0.6743843217513313,-0.18201309667164395,0.28558042460816957,0.14276312685005416,0.14053370539100463
XAUTUSDT,OLD_OTHER,1556,2026-03-26,2026-04-02,0.18071323999296848,0.03166413003338772,0.14904910995958076,-0.08550902133797918,0.049918355161107514,
