ts,bar,book,turnover,cost_bp,equity,n_long,n_short
2026-09-12 09:00:21,2026-09-12 08,A_neutral@1x,1.0000,6.00,9994.0000,5,5
2026-09-12 09:00:21,2026-09-12 08,A_neutral@3x,1.0000,18.00,9982.0000,5,5
2026-09-12 09:00:21,2026-09-12 08,B_dispersion@1x,0.0000,0.00,10000.0000,0,0
2026-09-12 09:00:21,2026-09-12 08,B_dispersion@3x,0.0000,0.00,10000.0000,0,0
2026-09-12 09:00:21,2026-09-12 08,C_idxhedge@1x,0.7619,4.57,9995.4286,5,16
2026-09-12 09:00:21,2026-09-12 08,C_idxhedge@3x,0.7619,13.71,9986.2857,5,16
