ts_utc,symbol,side,entry,exit,reason,R,pnl_pct,equity
2026-09-11 13:01:08,BTC/USDT:USDT,SHORT,77234.2,78056.492979,SL,-1.075,-1.075,989.25
2026-09-11 13:01:11,AVAX/USDT:USDT,SHORT,7.416,7.567474,SL,-1.039,-1.039,978.86
2026-09-11 14:00:15,XRP/USDT:USDT,SHORT,1.3534,1.379282,SL,-1.042,-1.042,968.44
2026-09-11 14:00:16,AVAX/USDT:USDT,SHORT,7.576,7.758406,SL,-1.033,-1.033,958.43
2026-09-11 16:00:37,BTC/USDT:USDT,LONG,78763.6,77454.728433,SL,-1.048,-1.048,948.39
2026-09-11 16:00:37,ETH/USDT:USDT,LONG,2628.92,2570.090676,SL,-1.036,-1.036,938.46
2026-09-11 19:00:01,SOL/USDT:USDT,LONG,103.223,100.526722,SL,-1.031,-1.031,928.79
2026-09-11 19:00:02,XRP/USDT:USDT,LONG,1.3943,1.354422,SL,-1.028,-1.028,919.14
2026-09-11 19:00:02,BNB/USDT:USDT,LONG,735.93,724.176045,SL,-1.05,-1.05,909.08
2026-09-13 07:00:36,BNB/USDT:USDT,LONG,733.1,722.877767,SL,-1.057,-1.057,899.46
2026-09-13 10:01:00,SOL/USDT:USDT,SHORT,101.29,99.624361,TP,1.464,1.464,912.77
2026-09-13 11:02:00,BNB/USDT:USDT,SHORT,721.57,713.936328,TP,1.443,1.443,925.75
2026-09-13 17:00:07,BNB/USDT:USDT,SHORT,714.64,720.290388,SL,-1.101,-1.101,915.56
2026-09-13 21:01:11,XRP/USDT:USDT,SHORT,1.3475,1.361357,SL,-1.078,-1.078,905.72
