2026-09-12 10:51:53 | bar 2026-09-12 09 | mkt +0.00% | A1x=9985 A3x=9956 B1x=10000 B3x=10000 C1x=9990 C3x=9969 D1x=9983 D3x=9949 E1x=9993 E3x=9979
2026-09-12 10:57:02 | bar 2026-09-12 09 | mkt +0.00% | A1x=9985 A3x=9956 B1x=10000 B3x=10000 C1x=9990 C3x=9969 D1x=9983 D3x=9949 E1x=9993 E3x=9979
2026-09-12 11:02:11 | bar 2026-09-12 10 | mkt +0.10% | A1x=9991 A3x=9972 B1x=10000 B3x=10000 C1x=9991 C3x=9972 D1x=9986 D3x=9957 E1x=10004 E3x=10013
2026-09-12 11:07:20 | bar 2026-09-12 10 | mkt +0.00% | A1x=9991 A3x=9972 B1x=10000 B3x=10000 C1x=9991 C3x=9972 D1x=9986 D3x=9957 E1x=10004 E3x=10013
2026-09-12 11:12:28 | bar 2026-09-12 10 | mkt +0.00% | A1x=9991 A3x=9972 B1x=10000 B3x=10000 C1x=9991 C3x=9972 D1x=9986 D3x=9957 E1x=10004 E3x=10013
2026-09-12 11:17:37 | bar 2026-09-12 10 | mkt +0.00% | A1x=9991 A3x=9972 B1x=10000 B3x=10000 C1x=9991 C3x=9972 D1x=9986 D3x=9957 E1x=10004 E3x=10013
2026-09-12 11:22:46 | bar 2026-09-12 10 | mkt +0.00% | A1x=9991 A3x=9972 B1x=10000 B3x=10000 C1x=9991 C3x=9972 D1x=9986 D3x=9957 E1x=10004 E3x=10013
2026-09-12 11:27:56 | bar 2026-09-12 10 | mkt +0.00% | A1x=9991 A3x=9972 B1x=10000 B3x=10000 C1x=9991 C3x=9972 D1x=9986 D3x=9957 E1x=10004 E3x=10013
2026-09-12 11:33:05 | bar 2026-09-12 10 | mkt +0.00% | A1x=9991 A3x=9972 B1x=10000 B3x=10000 C1x=9991 C3x=9972 D1x=9986 D3x=9957 E1x=10004 E3x=10013
2026-09-12 11:38:14 | bar 2026-09-12 10 | mkt +0.00% | A1x=9991 A3x=9972 B1x=10000 B3x=10000 C1x=9991 C3x=9972 D1x=9986 D3x=9957 E1x=10004 E3x=10013
2026-09-12 11:43:23 | bar 2026-09-12 10 | mkt +0.00% | A1x=9991 A3x=9972 B1x=10000 B3x=10000 C1x=9991 C3x=9972 D1x=9986 D3x=9957 E1x=10004 E3x=10013
2026-09-12 11:48:31 | bar 2026-09-12 10 | mkt +0.00% | A1x=9991 A3x=9972 B1x=10000 B3x=10000 C1x=9991 C3x=9972 D1x=9986 D3x=9957 E1x=10004 E3x=10013
2026-09-12 11:53:40 | bar 2026-09-12 10 | mkt +0.00% | A1x=9991 A3x=9972 B1x=10000 B3x=10000 C1x=9991 C3x=9972 D1x=9986 D3x=9957 E1x=10004 E3x=10013
2026-09-12 11:58:49 | bar 2026-09-12 10 | mkt +0.00% | A1x=9991 A3x=9972 B1x=10000 B3x=10000 C1x=9991 C3x=9972 D1x=9986 D3x=9957 E1x=10004 E3x=10013
2026-09-12 12:03:59 | bar 2026-09-12 11 | mkt +0.14% | A1x=9987 A3x=9961 B1x=10000 B3x=10000 C1x=9990 C3x=9969 D1x=10000 D3x=10001 E1x=10001 E3x=10003
2026-09-12 12:09:08 | bar 2026-09-12 11 | mkt +0.00% | A1x=9987 A3x=9961 B1x=10000 B3x=10000 C1x=9990 C3x=9969 D1x=10000 D3x=10001 E1x=10001 E3x=10003
2026-09-12 12:14:17 | bar 2026-09-12 11 | mkt +0.00% | A1x=9987 A3x=9961 B1x=10000 B3x=10000 C1x=9990 C3x=9969 D1x=10000 D3x=10001 E1x=10001 E3x=10003
2026-09-12 12:19:26 | bar 2026-09-12 11 | mkt +0.00% | A1x=9987 A3x=9961 B1x=10000 B3x=10000 C1x=9990 C3x=9969 D1x=10000 D3x=10001 E1x=10001 E3x=10003
2026-09-12 12:24:35 | bar 2026-09-12 11 | mkt +0.00% | A1x=9987 A3x=9961 B1x=10000 B3x=10000 C1x=9990 C3x=9969 D1x=10000 D3x=10001 E1x=10001 E3x=10003
2026-09-12 12:29:44 | bar 2026-09-12 11 | mkt +0.00% | A1x=9987 A3x=9961 B1x=10000 B3x=10000 C1x=9990 C3x=9969 D1x=10000 D3x=10001 E1x=10001 E3x=10003
2026-09-12 12:34:54 | bar 2026-09-12 11 | mkt +0.00% | A1x=9987 A3x=9961 B1x=10000 B3x=10000 C1x=9990 C3x=9969 D1x=10000 D3x=10001 E1x=10001 E3x=10003
2026-09-12 12:40:05 | bar 2026-09-12 11 | mkt +0.00% | A1x=9987 A3x=9961 B1x=10000 B3x=10000 C1x=9990 C3x=9969 D1x=10000 D3x=10001 E1x=10001 E3x=10003
2026-09-12 12:45:15 | bar 2026-09-12 11 | mkt +0.00% | A1x=9987 A3x=9961 B1x=10000 B3x=10000 C1x=9990 C3x=9969 D1x=10000 D3x=10001 E1x=10001 E3x=10003
2026-09-12 12:50:24 | bar 2026-09-12 11 | mkt +0.00% | A1x=9987 A3x=9961 B1x=10000 B3x=10000 C1x=9990 C3x=9969 D1x=10000 D3x=10001 E1x=10001 E3x=10003
2026-09-12 12:55:35 | bar 2026-09-12 11 | mkt +0.00% | A1x=9987 A3x=9961 B1x=10000 B3x=10000 C1x=9990 C3x=9969 D1x=10000 D3x=10001 E1x=10001 E3x=10003
2026-09-12 13:00:44 | bar 2026-09-12 12 | mkt -0.17% | A1x=9984 A3x=9951 B1x=10000 B3x=10000 C1x=9985 C3x=9956 D1x=9992 D3x=9977 E1x=9995 E3x=9986
2026-09-12 13:05:53 | bar 2026-09-12 12 | mkt +0.00% | A1x=9984 A3x=9951 B1x=10000 B3x=10000 C1x=9985 C3x=9956 D1x=9992 D3x=9977 E1x=9995 E3x=9986
2026-09-12 13:11:02 | bar 2026-09-12 12 | mkt +0.00% | A1x=9984 A3x=9951 B1x=10000 B3x=10000 C1x=9985 C3x=9956 D1x=9992 D3x=9977 E1x=9995 E3x=9986
2026-09-12 13:16:11 | bar 2026-09-12 12 | mkt +0.00% | A1x=9984 A3x=9951 B1x=10000 B3x=10000 C1x=9985 C3x=9956 D1x=9992 D3x=9977 E1x=9995 E3x=9986
2026-09-12 13:21:19 | bar 2026-09-12 12 | mkt +0.00% | A1x=9984 A3x=9951 B1x=10000 B3x=10000 C1x=9985 C3x=9956 D1x=9992 D3x=9977 E1x=9995 E3x=9986
2026-09-12 13:26:28 | bar 2026-09-12 12 | mkt +0.00% | A1x=9984 A3x=9951 B1x=10000 B3x=10000 C1x=9985 C3x=9956 D1x=9992 D3x=9977 E1x=9995 E3x=9986
2026-09-12 13:31:37 | bar 2026-09-12 12 | mkt +0.00% | A1x=9984 A3x=9951 B1x=10000 B3x=10000 C1x=9985 C3x=9956 D1x=9992 D3x=9977 E1x=9995 E3x=9986
