ts_utc,symbol,side,entry,exit,reason,R,pnl_pct,equity
2026-09-11 11:00:25,AVAX/USDT:USDT,SHORT,7.592,7.367316,TP,1.48,1.48,1014.8
2026-09-11 13:01:08,BTC/USDT:USDT,SHORT,77234.2,78056.492979,SL,-1.075,-1.075,1004.05
2026-09-11 13:01:11,AVAX/USDT:USDT,SHORT,7.353,7.491187,SL,-1.043,-1.043,993.47
2026-09-11 14:00:15,XRP/USDT:USDT,SHORT,1.3534,1.379282,SL,-1.042,-1.042,983.05
2026-09-11 14:00:16,AVAX/USDT:USDT,SHORT,7.576,7.758406,SL,-1.033,-1.033,972.89
2026-09-11 16:00:37,BTC/USDT:USDT,LONG,78763.6,77454.728433,SL,-1.048,-1.048,962.69
2026-09-11 16:00:37,ETH/USDT:USDT,LONG,2628.92,2570.090676,SL,-1.036,-1.036,952.62
2026-09-11 19:00:01,SOL/USDT:USDT,LONG,103.223,100.526722,SL,-1.031,-1.031,942.8
2026-09-11 19:00:02,XRP/USDT:USDT,LONG,1.3943,1.354422,SL,-1.028,-1.028,933.01
2026-09-11 19:00:02,BNB/USDT:USDT,LONG,735.93,724.176045,SL,-1.05,-1.05,922.79
2026-09-13 07:00:36,BNB/USDT:USDT,LONG,733.1,722.877767,SL,-1.057,-1.057,913.03
2026-09-13 09:00:09,ETH/USDT:USDT,LONG,2532.5,2497.496952,SL,-1.058,-1.058,903.27
2026-09-13 09:00:09,XRP/USDT:USDT,LONG,1.3727,1.351029,SL,-1.051,-1.051,893.57
2026-09-13 14:00:56,BNB/USDT:USDT,SHORT,721.27,713.499122,TP,1.444,1.444,906.76
2026-09-13 18:01:49,SOL/USDT:USDT,SHORT,99.964,101.043009,SL,-1.074,-1.074,897.16
2026-09-13 21:01:11,XRP/USDT:USDT,SHORT,1.3475,1.361357,SL,-1.078,-1.078,887.53
