ts,bar,mkt_ret,eq_A_neutral@1x,eq_A_neutral@3x,eq_B_dispersion@1x,eq_B_dispersion@3x,eq_C_idxhedge@1x,eq_C_idxhedge@3x,eq_D_momsharpe@1x,eq_D_momsharpe@3x,eq_E_mom720@1x,eq_E_mom720@3x
2026-09-12 11:38:14,2026-09-12 10:00,0.00000000,9990.6125,9971.8064,10000.0000,10000.0000,9990.6551,9971.9683,9985.6656,9957.0042,10004.4419,10013.2771
2026-09-12 11:43:23,2026-09-12 10:00,0.00000000,9990.6125,9971.8064,10000.0000,10000.0000,9990.6551,9971.9683,9985.6656,9957.0042,10004.4419,10013.2771
2026-09-12 11:48:31,2026-09-12 10:00,0.00000000,9990.6125,9971.8064,10000.0000,10000.0000,9990.6551,9971.9683,9985.6656,9957.0042,10004.4419,10013.2771
2026-09-12 11:53:40,2026-09-12 10:00,0.00000000,9990.6125,9971.8064,10000.0000,10000.0000,9990.6551,9971.9683,9985.6656,9957.0042,10004.4419,10013.2771
2026-09-12 11:58:49,2026-09-12 10:00,0.00000000,9990.6125,9971.8064,10000.0000,10000.0000,9990.6551,9971.9683,9985.6656,9957.0042,10004.4419,10013.2771
2026-09-12 12:03:59,2026-09-12 11:00,0.00139895,9986.9998,9960.9887,10000.0000,10000.0000,9989.5741,9968.7315,10000.2620,10000.6677,10001.0409,10003.0652
2026-09-12 12:09:08,2026-09-12 11:00,0.00000000,9986.9998,9960.9887,10000.0000,10000.0000,9989.5741,9968.7315,10000.2620,10000.6677,10001.0409,10003.0652
2026-09-12 12:14:17,2026-09-12 11:00,0.00000000,9986.9998,9960.9887,10000.0000,10000.0000,9989.5741,9968.7315,10000.2620,10000.6677,10001.0409,10003.0652
2026-09-12 12:19:26,2026-09-12 11:00,0.00000000,9986.9998,9960.9887,10000.0000,10000.0000,9989.5741,9968.7315,10000.2620,10000.6677,10001.0409,10003.0652
2026-09-12 12:24:35,2026-09-12 11:00,0.00000000,9986.9998,9960.9887,10000.0000,10000.0000,9989.5741,9968.7315,10000.2620,10000.6677,10001.0409,10003.0652
2026-09-12 12:29:44,2026-09-12 11:00,0.00000000,9986.9998,9960.9887,10000.0000,10000.0000,9989.5741,9968.7315,10000.2620,10000.6677,10001.0409,10003.0652
2026-09-12 12:34:54,2026-09-12 11:00,0.00000000,9986.9998,9960.9887,10000.0000,10000.0000,9989.5741,9968.7315,10000.2620,10000.6677,10001.0409,10003.0652
2026-09-12 12:40:05,2026-09-12 11:00,0.00000000,9986.9998,9960.9887,10000.0000,10000.0000,9989.5741,9968.7315,10000.2620,10000.6677,10001.0409,10003.0652
2026-09-12 12:45:15,2026-09-12 11:00,0.00000000,9986.9998,9960.9887,10000.0000,10000.0000,9989.5741,9968.7315,10000.2620,10000.6677,10001.0409,10003.0652
2026-09-12 12:50:24,2026-09-12 11:00,0.00000000,9986.9998,9960.9887,10000.0000,10000.0000,9989.5741,9968.7315,10000.2620,10000.6677,10001.0409,10003.0652
2026-09-12 12:55:35,2026-09-12 11:00,0.00000000,9986.9998,9960.9887,10000.0000,10000.0000,9989.5741,9968.7315,10000.2620,10000.6677,10001.0409,10003.0652
2026-09-12 13:00:44,2026-09-12 12:00,-0.00168114,9983.7577,9951.2877,10000.0000,10000.0000,9985.4213,9956.2989,9992.4581,9977.2552,9995.2471,9985.6801
2026-09-12 13:05:53,2026-09-12 12:00,0.00000000,9983.7577,9951.2877,10000.0000,10000.0000,9985.4213,9956.2989,9992.4581,9977.2552,9995.2471,9985.6801
2026-09-12 13:11:02,2026-09-12 12:00,0.00000000,9983.7577,9951.2877,10000.0000,10000.0000,9985.4213,9956.2989,9992.4581,9977.2552,9995.2471,9985.6801
2026-09-12 13:16:11,2026-09-12 12:00,0.00000000,9983.7577,9951.2877,10000.0000,10000.0000,9985.4213,9956.2989,9992.4581,9977.2552,9995.2471,9985.6801
2026-09-12 13:21:19,2026-09-12 12:00,0.00000000,9983.7577,9951.2877,10000.0000,10000.0000,9985.4213,9956.2989,9992.4581,9977.2552,9995.2471,9985.6801
2026-09-12 13:26:28,2026-09-12 12:00,0.00000000,9983.7577,9951.2877,10000.0000,10000.0000,9985.4213,9956.2989,9992.4581,9977.2552,9995.2471,9985.6801
2026-09-12 13:31:37,2026-09-12 12:00,0.00000000,9983.7577,9951.2877,10000.0000,10000.0000,9985.4213,9956.2989,9992.4581,9977.2552,9995.2471,9985.6801
2026-09-12 13:36:46,2026-09-12 12:00,0.00000000,9983.7577,9951.2877,10000.0000,10000.0000,9985.4213,9956.2989,9992.4581,9977.2552,9995.2471,9985.6801
2026-09-12 13:41:55,2026-09-12 12:00,0.00000000,9983.7577,9951.2877,10000.0000,10000.0000,9985.4213,9956.2989,9992.4581,9977.2552,9995.2471,9985.6801
2026-09-12 13:47:04,2026-09-12 12:00,0.00000000,9983.7577,9951.2877,10000.0000,10000.0000,9985.4213,9956.2989,9992.4581,9977.2552,9995.2471,9985.6801
2026-09-12 13:52:13,2026-09-12 12:00,0.00000000,9983.7577,9951.2877,10000.0000,10000.0000,9985.4213,9956.2989,9992.4581,9977.2552,9995.2471,9985.6801
2026-09-12 13:57:24,2026-09-12 12:00,0.00000000,9983.7577,9951.2877,10000.0000,10000.0000,9985.4213,9956.2989,9992.4581,9977.2552,9995.2471,9985.6801
2026-09-12 14:02:35,2026-09-12 13:00,-0.00123121,9983.9428,9951.8412,10000.0000,10000.0000,9980.5137,9941.6193,9983.8436,9951.4510,9986.8667,9960.5632
2026-09-12 14:07:44,2026-09-12 13:00,0.00000000,9983.9428,9951.8412,10000.0000,10000.0000,9980.5137,9941.6193,9983.8436,9951.4510,9986.8667,9960.5632
2026-09-12 14:12:53,2026-09-12 13:00,0.00000000,9983.9428,9951.8412,10000.0000,10000.0000,9980.5137,9941.6193,9983.8436,9951.4510,9986.8667,9960.5632
2026-09-12 14:18:03,2026-09-12 13:00,0.00000000,9983.9428,9951.8412,10000.0000,10000.0000,9980.5137,9941.6193,9983.8436,9951.4510,9986.8667,9960.5632
2026-09-12 14:23:12,2026-09-12 13:00,0.00000000,9983.9428,9951.8412,10000.0000,10000.0000,9980.5137,9941.6193,9983.8436,9951.4510,9986.8667,9960.5632
2026-09-12 14:28:21,2026-09-12 13:00,0.00000000,9983.9428,9951.8412,10000.0000,10000.0000,9980.5137,9941.6193,9983.8436,9951.4510,9986.8667,9960.5632
2026-09-12 14:33:30,2026-09-12 13:00,0.00000000,9983.9428,9951.8412,10000.0000,10000.0000,9980.5137,9941.6193,9983.8436,9951.4510,9986.8667,9960.5632
2026-09-12 14:38:39,2026-09-12 13:00,0.00000000,9983.9428,9951.8412,10000.0000,10000.0000,9980.5137,9941.6193,9983.8436,9951.4510,9986.8667,9960.5632
2026-09-12 14:43:49,2026-09-12 13:00,0.00000000,9983.9428,9951.8412,10000.0000,10000.0000,9980.5137,9941.6193,9983.8436,9951.4510,9986.8667,9960.5632
2026-09-12 14:48:58,2026-09-12 13:00,0.00000000,9983.9428,9951.8412,10000.0000,10000.0000,9980.5137,9941.6193,9983.8436,9951.4510,9986.8667,9960.5632
2026-09-12 14:54:07,2026-09-12 13:00,0.00000000,9983.9428,9951.8412,10000.0000,10000.0000,9980.5137,9941.6193,9983.8436,9951.4510,9986.8667,9960.5632
2026-09-12 14:59:17,2026-09-12 13:00,0.00000000,9983.9428,9951.8412,10000.0000,10000.0000,9980.5137,9941.6193,9983.8436,9951.4510,9986.8667,9960.5632
2026-09-12 15:04:26,2026-09-12 14:00,0.00083978,9996.5310,9989.4843,10000.0000,10000.0000,9988.6017,9965.7886,9980.4561,9941.3214,10005.7329,10017.0126
2026-09-12 15:09:35,2026-09-12 14:00,0.00000000,9996.5310,9989.4843,10000.0000,10000.0000,9988.6017,9965.7886,9980.4561,9941.3214,10005.7329,10017.0126
2026-09-12 15:14:45,2026-09-12 14:00,0.00000000,9996.5310,9989.4843,10000.0000,10000.0000,9988.6017,9965.7886,9980.4561,9941.3214,10005.7329,10017.0126
2026-09-12 15:19:53,2026-09-12 14:00,0.00000000,9996.5310,9989.4843,10000.0000,10000.0000,9988.6017,9965.7886,9980.4561,9941.3214,10005.7329,10017.0126
2026-09-12 15:25:04,2026-09-12 14:00,0.00000000,9996.5310,9989.4843,10000.0000,10000.0000,9988.6017,9965.7886,9980.4561,9941.3214,10005.7329,10017.0126
2026-09-12 15:30:14,2026-09-12 14:00,0.00000000,9996.5310,9989.4843,10000.0000,10000.0000,9988.6017,9965.7886,9980.4561,9941.3214,10005.7329,10017.0126
2026-09-12 15:35:23,2026-09-12 14:00,0.00000000,9996.5310,9989.4843,10000.0000,10000.0000,9988.6017,9965.7886,9980.4561,9941.3214,10005.7329,10017.0126
2026-09-12 15:40:32,2026-09-12 14:00,0.00000000,9996.5310,9989.4843,10000.0000,10000.0000,9988.6017,9965.7886,9980.4561,9941.3214,10005.7329,10017.0126
2026-09-12 15:45:41,2026-09-12 14:00,0.00000000,9996.5310,9989.4843,10000.0000,10000.0000,9988.6017,9965.7886,9980.4561,9941.3214,10005.7329,10017.0126
2026-09-12 15:50:50,2026-09-12 14:00,0.00000000,9996.5310,9989.4843,10000.0000,10000.0000,9988.6017,9965.7886,9980.4561,9941.3214,10005.7329,10017.0126
2026-09-12 15:55:59,2026-09-12 14:00,0.00000000,9996.5310,9989.4843,10000.0000,10000.0000,9988.6017,9965.7886,9980.4561,9941.3214,10005.7329,10017.0126
2026-09-12 16:01:08,2026-09-12 15:00,0.00223073,10001.0423,10003.0088,10000.0000,10000.0000,9988.3316,9964.9801,9983.8333,9951.4132,10023.4614,10070.2580
2026-09-12 16:06:17,2026-09-12 15:00,0.00000000,10001.0423,10003.0088,10000.0000,10000.0000,9988.3316,9964.9801,9983.8333,9951.4132,10023.4614,10070.2580
2026-09-12 16:11:27,2026-09-12 15:00,0.00000000,10001.0423,10003.0088,10000.0000,10000.0000,9988.3316,9964.9801,9983.8333,9951.4132,10023.4614,10070.2580
2026-09-12 16:16:37,2026-09-12 15:00,0.00000000,10001.0423,10003.0088,10000.0000,10000.0000,9988.3316,9964.9801,9983.8333,9951.4132,10023.4614,10070.2580
2026-09-12 16:21:45,2026-09-12 15:00,0.00000000,10001.0423,10003.0088,10000.0000,10000.0000,9988.3316,9964.9801,9983.8333,9951.4132,10023.4614,10070.2580
2026-09-12 16:26:55,2026-09-12 15:00,0.00000000,10001.0423,10003.0088,10000.0000,10000.0000,9988.3316,9964.9801,9983.8333,9951.4132,10023.4614,10070.2580
2026-09-12 16:32:06,2026-09-12 15:00,0.00000000,10001.0423,10003.0088,10000.0000,10000.0000,9988.3316,9964.9801,9983.8333,9951.4132,10023.4614,10070.2580
2026-09-12 16:37:15,2026-09-12 15:00,0.00000000,10001.0423,10003.0088,10000.0000,10000.0000,9988.3316,9964.9801,9983.8333,9951.4132,10023.4614,10070.2580
2026-09-12 16:42:24,2026-09-12 15:00,0.00000000,10001.0423,10003.0088,10000.0000,10000.0000,9988.3316,9964.9801,9983.8333,9951.4132,10023.4614,10070.2580
