t,fundingRate
2025-02-21 16:00:00.000,0.0001
2025-02-22 00:00:00.000,0.0001
2025-02-22 08:00:00.000,3.029e-05
2025-02-22 16:00:00.000,5.523e-05
2025-02-23 00:00:00.000,0.0001
2025-02-23 08:00:00.000,0.0001
2025-02-23 16:00:00.000,0.0001
2025-02-24 00:00:00.000,1.622e-05
2025-02-24 08:00:00.000,-7.651e-05
2025-02-24 16:00:00.000,-0.0001469
2025-02-25 00:00:00.000,-0.00012716
2025-02-25 08:00:00.000,-0.00012257
2025-02-25 16:00:00.000,-0.00013845
2025-02-26 00:00:00.000,-6.905e-05
2025-02-26 08:00:00.000,-8.22e-06
2025-02-26 16:00:00.000,0.0001
2025-02-27 00:00:00.001,0.0001
2025-02-27 08:00:00.000,0.0001
2025-02-27 16:00:00.000,0.0001
2025-02-28 00:00:00.001,-8.54e-06
2025-02-28 08:00:00.000,-4.287e-05
2025-02-28 16:00:00.000,7.456e-05
2025-03-01 00:00:00.000,0.0001
2025-03-01 08:00:00.000,0.0001
2025-03-01 16:00:00.001,0.0001
2025-03-02 00:00:00.000,0.0001
2025-03-02 08:00:00.000,0.0001
2025-03-02 16:00:00.000,9.467e-05
2025-03-03 00:00:00.001,0.0001
2025-03-03 08:00:00.000,3.951e-05
2025-03-03 16:00:00.000,8.84e-06
2025-03-04 00:00:00.001,-0.00022351
2025-03-04 08:00:00.005,3.92e-06
2025-03-04 16:00:00.000,-4.91e-06
2025-03-05 00:00:00.000,3.434e-05
2025-03-05 08:00:00.000,3.822e-05
2025-03-05 16:00:00.000,9.388e-05
2025-03-06 00:00:00.000,0.0001
2025-03-06 08:00:00.001,0.0001
2025-03-06 16:00:00.000,8.197e-05
2025-03-07 00:00:00.000,4.466e-05
2025-03-07 08:00:00.001,8.472e-05
2025-03-07 16:00:00.000,0.0001
2025-03-08 00:00:00.000,6.847e-05
2025-03-08 08:00:00.001,-0.00012624
2025-03-08 16:00:00.001,-9.925e-05
2025-03-09 00:00:00.001,-0.00010529
2025-03-09 08:00:00.000,-0.00015768
2025-03-09 16:00:00.000,-0.00014327
2025-03-10 00:00:00.000,-3.851e-05
2025-03-10 08:00:00.000,-7.542e-05
2025-03-10 16:00:00.000,8.803e-05
2025-03-11 00:00:00.000,-0.00013463
2025-03-11 08:00:00.000,-9.011e-05
2025-03-11 16:00:00.001,9.332e-05
2025-03-12 00:00:00.000,0.0001
2025-03-12 08:00:00.000,6.288e-05
2025-03-12 16:00:00.001,9.994e-05
2025-03-13 00:00:00.000,0.0001
2025-03-13 08:00:00.000,0.0001
2025-03-13 16:00:00.000,0.0001
2025-03-14 00:00:00.000,9.944e-05
2025-03-14 08:00:00.000,0.0001
2025-03-14 16:00:00.000,9.761e-05
2025-03-15 00:00:00.000,6.019e-05
2025-03-15 08:00:00.000,0.0001
2025-03-15 16:00:00.000,-4.32e-06
2025-03-16 00:00:00.000,7.812e-05
2025-03-16 08:00:00.000,0.0001
2025-03-16 16:00:00.000,-1.4e-05
2025-03-17 00:00:00.000,7.447e-05
2025-03-17 08:00:00.000,0.0001
2025-03-17 16:00:00.000,-1.203e-05
2025-03-18 00:00:00.000,0.0001
2025-03-18 08:00:00.000,8.671e-05
2025-03-18 16:00:00.000,-5.96e-06
2025-03-19 00:00:00.000,-3.977e-05
2025-03-19 08:00:00.000,0.0001
2025-03-19 16:00:00.000,0.0001
2025-03-20 00:00:00.000,6.508e-05
2025-03-20 08:00:00.000,0.0001
2025-03-20 16:00:00.000,0.0001
2025-03-21 00:00:00.000,7.578e-05
2025-03-21 08:00:00.000,6.452e-05
2025-03-21 16:00:00.000,-4.284e-05
2025-03-22 00:00:00.000,6.045e-05
2025-03-22 08:00:00.004,0.0001
2025-03-22 16:00:00.000,0.0001
2025-03-23 00:00:00.000,-1.627e-05
2025-03-23 08:00:00.000,7.511e-05
2025-03-23 16:00:00.000,7.86e-06
2025-03-24 00:00:00.000,3.16e-05
2025-03-24 08:00:00.000,0.0001
2025-03-24 16:00:00.000,0.0001
2025-03-25 00:00:00.001,0.0001
2025-03-25 08:00:00.000,0.0001
2025-03-25 16:00:00.000,4.356e-05
2025-03-26 00:00:00.000,0.0001
2025-03-26 08:00:00.000,0.0001
