t,oi,oiv
2026-08-12 08:00:00,8599638.49,655722434.8625
2026-08-12 08:05:00,8620711.43,658105110.5662
2026-08-12 08:10:00,8633151.79,658968476.1307
2026-08-12 08:15:00,8632038.19,658302421.563114
2026-08-12 08:20:00,8636936.74,659516489.4664
2026-08-12 08:25:00,8631553.49,659191740.0313
2026-08-12 08:30:00,8636303.44,659750191.7442092
2026-08-12 08:35:00,8637728.61,659231447.5152
2026-08-12 08:40:00,8637136.75,659618133.5975
2026-08-12 08:45:00,8632839.07,658313600.6682678
2026-08-12 08:50:00,8629610.7,657893636.6328672
2026-08-12 08:55:00,8622108.73,656868996.6005045
2026-08-12 09:00:00,8623383.03,656591603.3142389
2026-08-12 09:05:00,8620410.49,656881626.3738356
2026-08-12 09:10:00,8620777.21,657555618.4761678
2026-08-12 09:15:00,8620062.63,657596907.3830558
2026-08-12 09:20:00,8631461.02,659937338.3047035
2026-08-12 09:25:00,8632106.99,660787790.0845
2026-08-12 09:30:00,8624198.25,661907215.6875
2026-08-12 09:35:00,8637897.23,662267580.6241
2026-08-12 09:40:00,8638117.5,663018349.9714803
2026-08-12 09:45:00,8646592.59,663453049.4307
2026-08-12 09:50:00,8654736.94,663731775.9286
2026-08-12 09:55:00,8652006.63,663366907.2234753
2026-08-12 10:00:00,8648387.78,663417826.6038
2026-08-12 10:05:00,8657963.66,664152392.3586
2026-08-12 10:10:00,8645690.71,662595269.1953988
2026-08-12 10:15:00,8649960.9,664143997.902
2026-08-12 10:20:00,8655012.79,664079879.945201
2026-08-12 10:25:00,8652880.66,664352460.6745996
2026-08-12 10:30:00,8653594.73,663795757.2474221
2026-08-12 10:35:00,8656969.58,664168473.7104433
2026-08-12 10:40:00,8656770.27,664407118.2225
2026-08-12 10:45:00,8656690.82,664227886.6186
2026-08-12 10:50:00,8659955.0,664434416.4972782
2026-08-12 10:55:00,8661518.14,664944747.6078
2026-08-12 11:00:00,8657527.36,664241417.0624101
2026-08-12 11:05:00,8661025.69,664214060.1661
2026-08-12 11:10:00,8660552.12,664438784.8939747
2026-08-12 11:15:00,8659230.72,663877045.3920718
2026-08-12 11:20:00,8650400.44,663745225.7612
2026-08-12 11:25:00,8654999.02,664703924.736
2026-08-12 11:30:00,8661057.02,665082568.5658
2026-08-12 11:35:00,8662877.94,664702624.3362
2026-08-12 11:40:00,8659619.45,664452600.3985
2026-08-12 11:45:00,8662612.22,664396227.4571257
2026-08-12 11:50:00,8664492.44,664863354.227743
2026-08-12 11:55:00,8664015.7,665357406.5994099
2026-08-12 12:00:00,8661562.89,665208029.952
2026-08-12 12:05:00,8675044.56,668102382.9326875
2026-08-12 12:10:00,8676637.31,667701323.5299847
2026-08-12 12:15:00,8682546.8,668121976.26
2026-08-12 12:20:00,8692795.3,669360958.0640925
2026-08-12 12:25:00,8680448.92,667376343.9317608
2026-08-12 12:30:00,8672168.31,669057785.1165
2026-08-12 12:35:00,8660479.03,666054609.017547
2026-08-12 12:40:00,8668153.38,664327275.0432
2026-08-12 12:45:00,8648563.46,661442133.4208
2026-08-12 12:50:00,8619232.96,658767975.1328
2026-08-12 12:55:00,8625021.22,661021626.3008
2026-08-12 13:00:00,8633927.73,661358864.118
2026-08-12 13:05:00,8625961.05,659540981.883
2026-08-12 13:10:00,8623679.38,660142656.539
2026-08-12 13:15:00,8675059.6,663121555.824
2026-08-12 13:20:00,8669341.61,663031246.3328
2026-08-12 13:25:00,8667813.19,662576239.4943876
2026-08-12 13:30:00,8670372.05,662589832.061
2026-08-12 13:35:00,8666111.34,661050973.0152
2026-08-12 13:40:00,8656198.2,659948550.768
2026-08-12 13:45:00,8649154.54,659498033.675
2026-08-12 13:50:00,8653070.96,659821682.1795801
2026-08-12 13:55:00,8667934.04,660843291.2096
2026-08-12 14:00:00,8665104.26,660305448.1404306
2026-08-12 14:05:00,8627630.0,653890369.9750147
2026-08-12 14:10:00,8630902.06,654999157.3334
2026-08-12 14:15:00,8638964.36,656760953.8084437
2026-08-12 14:20:00,8641623.27,656164691.7234464
2026-08-12 14:25:00,8644996.72,655399903.1910367
2026-08-12 14:30:00,8644408.63,654641065.5499
2026-08-12 14:35:00,8642330.55,653404882.8738995
2026-08-12 14:40:00,8665132.85,654650786.8175
2026-08-12 14:45:00,8671061.21,655024763.1568521
2026-08-12 14:50:00,8666934.86,655258337.820486
2026-08-12 14:55:00,8661796.01,653508509.3698232
2026-08-12 15:00:00,8667305.8,653774876.494
2026-08-12 15:05:00,8664743.87,655339105.225451
2026-08-12 15:10:00,8670468.08,655531480.0798974
2026-08-12 15:15:00,8672274.54,656577905.4234
2026-08-12 15:20:00,8670307.74,657383654.9340281
2026-08-12 15:25:00,8659851.33,655817742.8398645
2026-08-12 15:30:00,8667141.84,655905265.7538342
2026-08-12 15:35:00,8668955.04,656066517.4272
2026-08-12 15:40:00,8684987.47,657512901.0356753
2026-08-12 15:45:00,8685261.11,657931807.6667374
2026-08-12 15:50:00,8686511.03,657742615.1916
2026-08-12 15:55:00,8685065.82,657327091.5126208
