t,close
2023-12-17 00:00:00,0.6088
2023-12-17 08:00:00,0.6146
2023-12-17 16:00:00,0.6105
2023-12-18 00:00:00,0.5926
2023-12-18 08:00:00,0.5876
2023-12-18 16:00:00,0.6105
2023-12-19 00:00:00,0.6477
2023-12-19 08:00:00,0.6424
2023-12-19 16:00:00,0.6786
2023-12-20 00:00:00,0.7295
2023-12-20 08:00:00,0.7057
2023-12-20 16:00:00,0.688
2023-12-21 00:00:00,0.7048
2023-12-21 08:00:00,0.6815
2023-12-21 16:00:00,0.6876
2023-12-22 00:00:00,0.6641
2023-12-22 08:00:00,0.6898
2023-12-22 16:00:00,0.695
2023-12-23 00:00:00,0.7162
2023-12-23 08:00:00,0.7089
2023-12-23 16:00:00,0.7534
2023-12-24 00:00:00,0.7202
2023-12-24 08:00:00,0.7275
2023-12-24 16:00:00,0.7142
2023-12-25 00:00:00,0.7363
2023-12-25 08:00:00,0.7607
2023-12-25 16:00:00,0.8166
2023-12-26 00:00:00,0.8399
2023-12-26 08:00:00,0.8288
2023-12-26 16:00:00,0.8838
2023-12-27 00:00:00,0.8255
2023-12-27 08:00:00,0.8473
2023-12-27 16:00:00,0.8301
2023-12-28 00:00:00,0.8037
2023-12-28 08:00:00,0.8036
2023-12-28 16:00:00,0.7966
2023-12-29 00:00:00,0.7699
2023-12-29 08:00:00,0.8105
2023-12-29 16:00:00,0.8057
2023-12-30 00:00:00,0.7915
2023-12-30 08:00:00,0.7896
2023-12-30 16:00:00,0.8082
2023-12-31 00:00:00,0.8216
2023-12-31 08:00:00,0.8028
2023-12-31 16:00:00,0.7752
2024-01-01 00:00:00,0.7703
2024-01-01 08:00:00,0.8047
2024-01-01 16:00:00,0.8438
2024-01-02 00:00:00,0.8891
2024-01-02 08:00:00,0.8559
2024-01-02 16:00:00,0.9062
2024-01-03 00:00:00,0.8839
2024-01-03 08:00:00,0.8292
2024-01-03 16:00:00,0.8437
2024-01-04 00:00:00,0.8249
2024-01-04 08:00:00,0.8523
2024-01-04 16:00:00,0.8535
2024-01-05 00:00:00,0.8012
2024-01-05 08:00:00,0.8243
2024-01-05 16:00:00,0.8999
2024-01-06 00:00:00,0.8495
2024-01-06 08:00:00,0.8681
2024-01-06 16:00:00,0.8316
2024-01-07 00:00:00,0.8206
2024-01-07 08:00:00,0.823
2024-01-07 16:00:00,0.8002
2024-01-08 00:00:00,0.7684
2024-01-08 08:00:00,0.828
2024-01-08 16:00:00,0.8599
2024-01-09 00:00:00,0.8479
2024-01-09 08:00:00,0.8281
2024-01-09 16:00:00,0.7983
2024-01-10 00:00:00,0.7953
2024-01-10 08:00:00,0.7862
2024-01-10 16:00:00,0.842
2024-01-11 00:00:00,0.9782
2024-01-11 08:00:00,1.0025
2024-01-11 16:00:00,1.0927
2024-01-12 00:00:00,1.1208
2024-01-12 08:00:00,1.1652
2024-01-12 16:00:00,1.1685
2024-01-13 00:00:00,1.2594
2024-01-13 08:00:00,1.2747
2024-01-13 16:00:00,1.2895
2024-01-14 00:00:00,1.2973
2024-01-14 08:00:00,1.2632
2024-01-14 16:00:00,1.2506
2024-01-15 00:00:00,1.4313
2024-01-15 08:00:00,1.3757
2024-01-15 16:00:00,1.3716
2024-01-16 00:00:00,1.3088
2024-01-16 08:00:00,1.2717
2024-01-16 16:00:00,1.2704
2024-01-17 00:00:00,1.2201
2024-01-17 08:00:00,1.2668
2024-01-17 16:00:00,1.2933
2024-01-18 00:00:00,1.3204
2024-01-18 08:00:00,1.2131
2024-01-18 16:00:00,1.1586
2024-01-19 00:00:00,1.1185
2024-01-19 08:00:00,1.1447
2024-01-19 16:00:00,1.1659
2024-01-20 00:00:00,1.1124
2024-01-20 08:00:00,1.0684
2024-01-20 16:00:00,1.1024
2024-01-21 00:00:00,1.1095
2024-01-21 08:00:00,1.082
2024-01-21 16:00:00,1.0613
2024-01-22 00:00:00,1.0372
2024-01-22 08:00:00,1.0733
2024-01-22 16:00:00,1.0739
2024-01-23 00:00:00,1.0707
2024-01-23 08:00:00,1.1529
2024-01-23 16:00:00,1.1859
2024-01-24 00:00:00,1.2263
2024-01-24 08:00:00,1.2692
2024-01-24 16:00:00,1.2926
2024-01-25 00:00:00,1.2814
2024-01-25 08:00:00,1.1905
2024-01-25 16:00:00,1.1785
2024-01-26 00:00:00,1.2033
2024-01-26 08:00:00,1.2925
2024-01-26 16:00:00,1.4588
2024-01-27 00:00:00,1.387
2024-01-27 08:00:00,1.3999
2024-01-27 16:00:00,1.3946
2024-01-28 00:00:00,1.4035
2024-01-28 08:00:00,1.3531
2024-01-28 16:00:00,1.3331
2024-01-29 00:00:00,1.3924
2024-01-29 08:00:00,1.4398
2024-01-29 16:00:00,1.5623
2024-01-30 00:00:00,1.619
2024-01-30 08:00:00,1.5394
2024-01-30 16:00:00,1.5448
2024-01-31 00:00:00,1.6307
2024-01-31 08:00:00,1.6059
2024-01-31 16:00:00,1.5187
2024-02-01 00:00:00,1.4782
2024-02-01 08:00:00,1.4644
2024-02-01 16:00:00,1.5259
2024-02-02 00:00:00,1.5078
2024-02-02 08:00:00,1.4722
2024-02-02 16:00:00,1.4625
2024-02-03 00:00:00,1.3982
2024-02-03 08:00:00,1.4237
2024-02-03 16:00:00,1.4377
2024-02-04 00:00:00,1.4756
2024-02-04 08:00:00,1.5252
2024-02-04 16:00:00,1.4647
2024-02-05 00:00:00,1.5167
2024-02-05 08:00:00,1.5685
2024-02-05 16:00:00,1.576
2024-02-06 00:00:00,1.5545
2024-02-06 08:00:00,1.5487
2024-02-06 16:00:00,1.5178
2024-02-07 00:00:00,1.5135
2024-02-07 08:00:00,1.5037
2024-02-07 16:00:00,1.5411
2024-02-08 00:00:00,1.5409
2024-02-08 08:00:00,1.5493
2024-02-08 16:00:00,1.5262
2024-02-09 00:00:00,1.5623
2024-02-09 08:00:00,1.6663
2024-02-09 16:00:00,1.7612
