time,open,high,low,close,volume
2026-07-02 00:00:00,52718.0,52719.0,52709.0,52709.0,0
2026-07-02 00:05:00,52709.0,52710.0,52701.0,52701.0,23
2026-07-02 00:10:00,52704.0,52704.0,52695.0,52696.0,34
2026-07-02 00:15:00,52696.0,52698.0,52692.0,52693.0,44
2026-07-02 00:20:00,52691.0,52697.0,52689.0,52693.0,44
2026-07-02 00:25:00,52693.0,52694.0,52686.0,52690.0,27
2026-07-02 00:30:00,52685.0,52686.0,52668.0,52668.0,33
2026-07-02 00:35:00,52670.0,52677.0,52666.0,52676.0,60
2026-07-02 00:40:00,52675.0,52676.0,52668.0,52670.0,68
2026-07-02 00:45:00,52670.0,52675.0,52669.0,52674.0,33
2026-07-02 00:50:00,52672.0,52684.0,52672.0,52684.0,28
2026-07-02 00:55:00,52691.0,52694.0,52686.0,52687.0,21
2026-07-02 01:00:00,52686.0,52688.0,52674.0,52685.0,163
2026-07-02 01:05:00,52690.0,52700.0,52690.0,52695.0,20
2026-07-02 01:10:00,52693.0,52695.0,52690.0,52693.0,26
2026-07-02 01:15:00,52696.0,52697.0,52695.0,52697.0,28
2026-07-02 01:20:00,52702.0,52703.0,52693.0,52697.0,27
2026-07-02 01:25:00,52695.0,52695.0,52683.0,52683.0,47
2026-07-02 01:30:00,52679.0,52681.0,52673.0,52675.0,81
2026-07-02 01:35:00,52673.0,52673.0,52661.0,52662.0,44
2026-07-02 01:40:00,52662.0,52664.0,52651.0,52659.0,39
2026-07-02 01:45:00,52659.0,52662.0,52651.0,52653.0,76
2026-07-02 01:50:00,52654.0,52660.0,52650.0,52651.0,52
2026-07-02 01:55:00,52653.0,52658.0,52652.0,52654.0,41
2026-07-02 02:00:00,52650.0,52664.0,52645.0,52645.0,85
2026-07-02 02:05:00,52650.0,52653.0,52635.0,52636.0,103
2026-07-02 02:10:00,52636.0,52638.0,52626.0,52632.0,123
2026-07-02 02:15:00,52636.0,52653.0,52635.0,52640.0,176
2026-07-02 02:20:00,52640.0,52648.0,52638.0,52646.0,63
2026-07-02 02:25:00,52643.0,52646.0,52623.0,52628.0,115
2026-07-02 02:30:00,52630.0,52645.0,52628.0,52638.0,73
2026-07-02 02:35:00,52638.0,52638.0,52629.0,52630.0,42
2026-07-02 02:40:00,52631.0,52633.0,52611.0,52616.0,85
2026-07-02 02:45:00,52614.0,52615.0,52597.0,52606.0,173
2026-07-02 02:50:00,52603.0,52607.0,52589.0,52589.0,147
2026-07-02 02:55:00,52591.0,52601.0,52591.0,52592.0,128
2026-07-02 03:00:00,52591.0,52600.0,52570.0,52571.0,254
2026-07-02 03:05:00,52571.0,52588.0,52551.0,52586.0,244
2026-07-02 03:10:00,52585.0,52598.0,52566.0,52568.0,169
2026-07-02 03:15:00,52568.0,52597.0,52564.0,52597.0,146
2026-07-02 03:20:00,52597.0,52602.0,52587.0,52593.0,122
2026-07-02 03:25:00,52593.0,52602.0,52586.0,52593.0,78
2026-07-02 03:30:00,52589.0,52589.0,52572.0,52582.0,116
2026-07-02 03:35:00,52582.0,52608.0,52580.0,52608.0,102
2026-07-02 03:40:00,52607.0,52649.0,52607.0,52644.0,89
2026-07-02 03:45:00,52642.0,52653.0,52636.0,52648.0,217
2026-07-02 03:50:00,52646.0,52648.0,52639.0,52642.0,76
2026-07-02 03:55:00,52644.0,52648.0,52629.0,52632.0,88
2026-07-02 04:00:00,52634.0,52637.0,52616.0,52635.0,196
2026-07-02 04:05:00,52636.0,52662.0,52635.0,52654.0,156
2026-07-02 04:10:00,52654.0,52657.0,52629.0,52636.0,101
2026-07-02 04:15:00,52636.0,52654.0,52632.0,52635.0,120
2026-07-02 04:20:00,52634.0,52678.0,52634.0,52676.0,121
2026-07-02 04:25:00,52676.0,52708.0,52672.0,52694.0,217
2026-07-02 04:30:00,52691.0,52700.0,52684.0,52692.0,207
2026-07-02 04:35:00,52694.0,52702.0,52686.0,52692.0,175
2026-07-02 04:40:00,52691.0,52695.0,52678.0,52683.0,79
2026-07-02 04:45:00,52682.0,52707.0,52680.0,52706.0,48
2026-07-02 04:50:00,52710.0,52720.0,52706.0,52709.0,140
2026-07-02 04:55:00,52706.0,52707.0,52683.0,52686.0,82
2026-07-02 05:00:00,52686.0,52686.0,52676.0,52680.0,48
2026-07-02 05:05:00,52677.0,52682.0,52662.0,52667.0,62
2026-07-02 05:10:00,52672.0,52681.0,52670.0,52676.0,66
2026-07-02 05:15:00,52676.0,52695.0,52669.0,52690.0,56
2026-07-02 05:20:00,52685.0,52701.0,52685.0,52701.0,31
2026-07-02 05:25:00,52701.0,52701.0,52685.0,52686.0,87
2026-07-02 05:30:00,52685.0,52696.0,52685.0,52692.0,150
2026-07-02 05:35:00,52694.0,52706.0,52693.0,52702.0,52
2026-07-02 05:40:00,52703.0,52712.0,52699.0,52705.0,54
2026-07-02 05:45:00,52699.0,52699.0,52681.0,52689.0,62
2026-07-02 05:50:00,52689.0,52702.0,52689.0,52701.0,64
2026-07-02 05:55:00,52703.0,52704.0,52691.0,52698.0,57
2026-07-02 06:00:00,52700.0,52700.0,52686.0,52686.0,103
2026-07-02 06:05:00,52685.0,52698.0,52681.0,52698.0,52
2026-07-02 06:10:00,52698.0,52703.0,52693.0,52703.0,60
2026-07-02 06:15:00,52703.0,52721.0,52701.0,52721.0,52
2026-07-02 06:20:00,52724.0,52726.0,52710.0,52721.0,68
2026-07-02 06:25:00,52720.0,52743.0,52720.0,52731.0,159
2026-07-02 06:30:00,52735.0,52751.0,52725.0,52748.0,149
2026-07-02 06:35:00,52748.0,52770.0,52748.0,52763.0,204
2026-07-02 06:40:00,52765.0,52771.0,52761.0,52765.0,51
2026-07-02 06:45:00,52768.0,52769.0,52746.0,52750.0,77
