time,open,high,low,close,volume
2026-07-02 00:00:00,30155.5,30157.0,30050.0,30111.25,0
2026-07-02 01:00:00,30114.0,30159.75,30037.25,30051.0,6964
2026-07-02 02:00:00,30052.0,30066.0,29895.0,29919.75,10894
2026-07-02 03:00:00,29921.25,29944.5,29826.25,29891.25,10691
2026-07-02 04:00:00,29893.5,30038.25,29827.25,30033.0,9730
2026-07-02 05:00:00,30032.75,30033.5,29943.5,29957.75,6395
2026-07-02 06:00:00,29959.5,30008.5,29920.0,30005.75,5871
2026-07-02 07:00:00,30005.25,30079.0,29967.0,30034.25,9644
2026-07-02 08:00:00,30035.25,30320.0,30022.25,30182.75,26551
2026-07-02 09:00:00,30185.0,30263.0,30007.75,30257.5,77496
2026-07-02 10:00:00,30257.75,30293.5,29730.75,29840.25,108482
2026-07-02 11:00:00,29840.25,29852.0,29610.75,29676.0,72684
2026-07-02 12:00:00,29676.75,29688.25,29434.0,29462.25,61788
2026-07-02 13:00:00,29461.0,29482.75,29328.5,29338.5,48159
2026-07-02 14:00:00,29339.5,29528.0,29330.5,29489.0,46994
2026-07-02 15:00:00,29488.75,29588.0,29349.5,29539.5,62920
2026-07-02 16:00:00,29539.25,29564.75,29514.0,29551.75,18996
2026-07-02 18:00:00,29566.0,29622.25,29559.25,29618.75,0
2026-07-02 19:00:00,29615.75,29618.75,29552.0,29600.5,4937
2026-07-02 20:00:00,29598.75,29638.75,29522.0,29536.5,6700
2026-07-02 21:00:00,29539.5,29699.5,29535.25,29682.5,6840
2026-07-02 22:00:00,29684.75,29755.75,29680.5,29750.75,4049
2026-07-02 23:00:00,29749.75,29775.25,29717.75,29768.0,3630
2026-07-05 18:00:00,29930.25,29979.5,29860.75,29946.0,8656
2026-07-05 19:00:00,29946.5,30011.25,29901.75,29983.75,6704
2026-07-05 20:00:00,29987.75,30004.75,29845.0,29928.25,11654
2026-07-05 21:00:00,29926.5,29932.0,29750.0,29792.75,11361
2026-07-05 22:00:00,29793.25,29901.75,29683.0,29725.25,10053
2026-07-05 23:00:00,29726.5,29901.75,29693.25,29718.75,8432
2026-07-06 00:00:00,29730.25,29840.5,29703.0,29828.25,6073
2026-07-06 01:00:00,29829.5,29830.5,29752.5,29790.5,4029
2026-07-06 02:00:00,29791.5,29858.25,29754.75,29847.25,5157
2026-07-06 03:00:00,29846.25,29876.25,29816.25,29852.5,3582
2026-07-06 04:00:00,29852.75,29884.0,29780.0,29867.0,4668
2026-07-06 05:00:00,29869.75,29888.5,29827.5,29877.0,3442
2026-07-06 06:00:00,29878.0,29891.5,29847.25,29884.5,3091
2026-07-06 07:00:00,29884.25,29915.0,29841.75,29877.75,5845
2026-07-06 08:00:00,29879.0,29936.0,29865.5,29934.0,9279
2026-07-06 09:00:00,29934.75,30009.0,29776.25,29932.5,69434
2026-07-06 10:00:00,29935.5,30067.5,29903.25,30025.25,62489
2026-07-06 11:00:00,30025.75,30083.75,29941.25,30074.25,44660
2026-07-06 12:00:00,30074.0,30094.0,29981.0,29990.0,31501
2026-07-06 13:00:00,29989.0,30036.75,29882.25,29896.75,39481
2026-07-06 14:00:00,29896.25,30004.0,29895.5,29990.0,32137
2026-07-06 15:00:00,29990.75,30052.0,29931.5,29951.0,51173
2026-07-06 16:00:00,29950.75,29972.75,29931.25,29947.75,14257
2026-07-06 18:00:00,29960.0,29973.75,29889.0,29894.75,0
2026-07-06 19:00:00,29893.5,29928.75,29839.25,29852.25,6427
2026-07-06 20:00:00,29851.0,29914.25,29808.25,29816.75,10497
2026-07-06 21:00:00,29819.75,29835.75,29716.5,29773.0,10181
2026-07-06 22:00:00,29774.25,29819.25,29738.75,29748.0,6179
2026-07-06 23:00:00,29748.0,29784.75,29628.25,29661.75,10396
2026-07-07 00:00:00,29666.25,29669.75,29607.5,29625.5,6037
2026-07-07 01:00:00,29626.25,29704.5,29558.5,29689.75,8812
2026-07-07 02:00:00,29688.75,29701.25,29631.25,29688.75,6182
2026-07-07 03:00:00,29689.0,29744.0,29644.0,29645.5,8265
2026-07-07 04:00:00,29646.75,29709.25,29641.25,29660.25,5490
2026-07-07 05:00:00,29660.75,29693.5,29622.5,29662.25,5530
2026-07-07 06:00:00,29663.25,29689.5,29625.25,29659.25,9023
2026-07-07 07:00:00,29660.5,29661.75,29591.25,29642.5,6969
2026-07-07 08:00:00,29640.75,29716.0,29622.0,29642.25,12134
2026-07-07 09:00:00,29642.25,29685.75,29420.25,29469.0,87303
2026-07-07 10:00:00,29468.75,29505.75,29210.0,29302.5,99922
2026-07-07 11:00:00,29302.25,29389.25,29248.25,29386.75,54117
2026-07-07 12:00:00,29388.0,29558.25,29377.0,29540.0,56185
2026-07-07 13:00:00,29539.5,29580.75,29510.0,29567.25,35209
2026-07-07 14:00:00,29567.5,29574.25,29385.25,29391.0,40005
2026-07-07 15:00:00,29390.25,29410.0,29271.0,29395.5,65476
2026-07-07 16:00:00,29395.75,29437.25,29387.75,29419.5,17129
